users,text
1MDA44,RT @VoteBlueUS: @JoeBiden We are still the country that elected Barack Obama. Twice.  The light of our democracy will shine brightly again…
Roatyr,@JoeBiden How about packing the courts? Agenda 21 and the green new deal? You both are hiding things and lying to t… https://t.co/EM6K6MdKst
HayemaJebel,@JoeBiden I'm hope to you  Us president!
Elya1485,@JoeBiden You can’t even remember you’re running for President 🙄
_amandaxjo,RT @ScottPresler: @JoeBiden Until we re-elect President Trump.
rcasey87,@JoeBiden Voted for Biden today!!  So did my wife.
JanTate18324711,RT @The_Pale_H0rse: @JoeBiden We're literally asking for our tax dollars back. That's not a handout. It's a return on investment. Now make…
ellieb6218,RT @JoeBidenburns: @JoeBiden VOTE ORANGE OUT HES SUS
aloshopping,"@JoeBiden BLESSINGS, Mr. President"
Lihoyin11,@JoeBiden you got no plan https://t.co/5pewelQT3Q
skiptomyluca,@JoeBiden Let’s keep borrowing more money. You could give everyone 1 million dollars. That will solve all the problems of Americans.
PattyCakes_26,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
EvaSchnider2,@JoeBiden why does Biden desperately want people to vote online?  🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔
MABHessen,"@JoeBiden According to the poll, Biden is 57 percent, US President Trump 40 percent.👍👍👍"
ZUMAYA77,@JoeBiden @DNC. Would the media mob @CNN @MSNBC @nytimes @CBSNews cover this? https://t.co/v6OOCxWFcE
WilliamLabrada1,@JoeBiden Grande makina
tammyleecash,@JoeBiden Your hooker VP pick already voted for Medicare for all! Is that what you want to protect?
lindseyhgreen,@JoeBiden We need universal healthcare or a free public option.
breakersjaw,@JoeBiden JOE WILL WIN TRUMP WILL LOSE
Spicy_116,@JoeBiden please stop sniffing children
GovBillabee,@JoeBiden #WhereIsHunter https://t.co/kO7e6YpUkK
Kieran71Kieran,@JoeBiden Joe have you met Vadym Pozharskyi ? I am sure this can be verified. He wont answer of course because his… https://t.co/VVzjk3dlPS
Toady22,@JoeBiden You will be a President to nobody because not many people think you can do the job! Even #Democrats don’t… https://t.co/gRfYHEqFFe
venatorproditor,"@JoeBiden  @TeamTrump @dbongino  Hey Joe, what were you up to?  Care to answer or will you have a lid tomorrow at 1… https://t.co/QWszTblcET"
tscholz63,@JoeBiden Please get elected and be the 46 President of the United States!!!!!!!!
TJMaga1,"RT @FOOL_NELSON: @JoeBiden met with @georgesoros and Special Envoy and Coordinator of International Energy Affairs @amoshochstein, at the @…"
the100slexa,"RT @Carol69771560: @JoeBiden You'll be My President, haven't had one for 4 years💙"
Heavyhitters18,@JoeBiden 47 years and nothing to show for it! You have let down many American families over the years! You are a d… https://t.co/IkVrp6Jzj9
ashish231277,@JoeBiden whatever you will lost all
rob32322,@JoeBiden And trump doesn’t even have a plan of his own. He has been talking about it for 4 years and nothing to show us.
imprisionedby,@JoeBiden Yeah sure we will believe you Pedo Joe.  A career politican that has over 40 years of lying and has accom… https://t.co/wvwS4rBL2o
Angie46554041,"RT @oypy2020: @JoeBiden Interns, show Joe this. Impressive. Joe, it’s 10:08am, time to put a lid, you are done for the day https://t.co/hUB…"
BigdogFnh,@JoeBiden Trump is on it with a Poll Watcher Plan!! You Will Not Believe What is Going to Happen! Check out the Fac… https://t.co/HepOqX1DHq
TheSeahorseAT,"RT @JohnWeninger7: @JoeBiden Protect and build on what, Joe?  High premiums and deductibles?  Don't you think they're high enough already?…"
JodiWhitehead,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
ryanrepsher,@JoeBiden https://t.co/fKLvUcWwC6
BebestackerCPO,@JoeBiden @bradleyjakej Now if we can get Biden to answer questions maybe just maybe he would have a chance but he… https://t.co/es9CXouCZb
SpartanPride792,@JoeBiden Hunters bussiness deals 🥴
TexLeaguerWins,@JoeBiden https://t.co/N37RV0iE7X
Trumpfrog2,@JoeBiden What's up with this https://t.co/XJK9WdTtRT
Brian37272979,@JoeBiden Having a 10k deductible and then a 40% COPAY on anything for the plan most can afford isn't Healthcare! I… https://t.co/VU5dvB70CO
bill_forcier,@JoeBiden Till you go to jail ?
nojoyriding,@JoeBiden It has to be a landslide
JanTate18324711,RT @ellle_em: @JoeBiden I'm looking for a handout. We're in the middle of a massive pandemic and the planet is dying. I don't want to get a…
tyson067,RT @VoteBlueUS: @JoeBiden Let’s roll. https://t.co/1ClCjBmt9E
Lol72064102,@JoeBiden https://t.co/TnCLkdEj1M
Coffin131,@JoeBiden @KamalaHarris https://t.co/7cpZx07hyb
RATSASS19,@JoeBiden Don't think so joe...
NewittDarrell,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
ToniD99307345,RT @AnthonyLeeVoice: @JoeBiden What we must do:  #VoteASAPandBypassUSPS  1. Vote as soon as possible after early voting opens.  2. Bypass t…
emayaregee,@JoeBiden Thank you Joe. Please stay safe and healthy. We need you. The World needs you. 😷
Angie46554041,RT @stee8883: @JoeBiden In three weeks you'll lose old man
