users,text
josephgalvan24,@realDonaldTrump How childish and immature can this president be?
SurfBot6,"@realDonaldTrump The Trump Administration is killing Americans with their asinine theories like ""herd immunity.""  A… https://t.co/5iLBvJuzXw"
bmayer36412626,@realDonaldTrump Won’t be long
warren78882066,@realDonaldTrump Your arguments are thin. Your ignorance of reality is shocking. Your double-standards are offensiv… https://t.co/rjUoRVy5G1
JeanetteAmodio,RT @Phillip2020Vote: @realDonaldTrump Message from a real President and Nobel Prize winner...
SameSameBro,"@realDonaldTrump Will be ? What’s the plan bro? You’ve had a term and aside from saying a better plan, you haven’t… https://t.co/oLRanOYBi4"
churley7111,RT @RathelJames: @realDonaldTrump https://t.co/Sw9GmjJ6Wc
JC93233478,@realDonaldTrump I find it extremely distasteful that your out touting your accomplishments when you can't even get… https://t.co/6WJ0ltaT9H
TerryFagan7,@realDonaldTrump V.O.T.E. Biden!👍
Benoitjean7,@realDonaldTrump NO !!!
susan_patriot,@realDonaldTrump McConnell &amp; Graham saying they believe Obama Care WON'T be stuck down.  They also aren't supportin… https://t.co/FjquymGzcY
Arianna66260401,@realDonaldTrump Even conservatives have had enough of you. Conservative Columnist Max Boot Sums Up Donald Trump’s… https://t.co/wBlnw76Qe8
robronjohn,@realDonaldTrump https://t.co/Z1stCgq676
Democracy20208,@realDonaldTrump https://t.co/JAPifq0azV
starboardgirl,"@realDonaldTrump Blah, blah. blah -- you've had 4 years....still happening when???"
VALERIESUTHER14,RT @GailGrumolo: @realDonaldTrump This is all Bullshit. #TrumpGraveDancer https://t.co/KChTu2izla
TN72962116,@realDonaldTrump Really?   So what IS that your offering????   You've said that for THREE YEARS.  speak up or shut up!@
elementoflogic,"@realDonaldTrump Trump, what you say and do are two very different things. You lie to your supporters enough that t… https://t.co/eH5KWxecLk"
cairo_ray,@realDonaldTrump Bullchit
wtdak,@realDonaldTrump You said that a few times before Donny
briz3190,@realDonaldTrump Slow Joe Biden says he plans to increase corporate taxes. He does not understand that corporations… https://t.co/GDRD6yzNJx
ikhunkhun,@realDonaldTrump Loser and suckers. https://t.co/EJ24iLDnwp
GaryLWilliams,@realDonaldTrump Is Mexico paying for it?
JackZullo,@realDonaldTrump Slogans are for dumb dumbs.
June31988,@realDonaldTrump https://t.co/ulpo6Q9sti
pjaymeehan,"@realDonaldTrump We’ll show up for him at the ballot box, though..."
AndrewSB49,RT @Out5p0ken: @realDonaldTrump Columbus and fellow travelers brought with them diseases that ravaged the welcoming natives of the new land…
TrumpVirusUS1,@realDonaldTrump https://t.co/cW3CRxh0NR
em692,RT @davidmweissman: @realDonaldTrump I shouldn’t be embarrassed by your antics ever since I’ve stopped supporting you but here we are. http…
rickringer52,@realDonaldTrump @CoryBooker #VoteBidenHarrisToEndThisNightmare
RoseofArlVA,"@realdonaldtrump They love you in #Utah. His #gun got stuck in his shorts, thank God.  You lost the #Nobel, but won… https://t.co/79OZsSurYH"
MAYLAYLA3,"@realDonaldTrump Georgia MAKE AMERICA SAFE AGAIN,  vote BIDEN!"
debbiegoodman18,"@realDonaldTrump Because you’ve done such a great job so far.   Sorry, my level of trust is very low. So many lies."
MrsTLBerger,"@realDonaldTrump A CNN poll found Biden was up by 21 percentage points, with 60% for Biden and 39% for Trump."
IqbalAddou,@realDonaldTrump Yes and the sky is red
TurquoiseIrani,@realDonaldTrump This lady and Masih Alinejad and Shirin Ebadi and many Iranians in America and Europe are members… https://t.co/NCrsK81OKL
spotted_actual,@realDonaldTrump 1363 days in office so far. No healthcare plan. Just saying.
bloodraven43,RT @ReneeLasswell: @realDonaldTrump The 2nd Ammendment has never been under threat no matter how many times you lie about it.  No one has E…
realtruthhurt,RT @realtruthhurt: @realDonaldTrump https://t.co/YQa5rwHmGG
FrankRenaud,@realDonaldTrump Biden...77...trump 74 !!!
therightbanx,RT @howeasyweforget: @realDonaldTrump A tweet is not a plan. It's an empty promise. If healthcare had been a priority for Republicans they…
InsaneDJT,@realDonaldTrump https://t.co/dakhrQfSYn
ErbeJimmy,@realDonaldTrump WITH EXISTING CONDITIONS
gibson_marlena,@realDonaldTrump Politicians all take advantage of the system
ryleighnicole03,@realDonaldTrump TRUMP FOR PRISON
CMMV_vt,RT @EarthConcepts: @realDonaldTrump You don't have any money.  BTW: How is Melania?  Where is Bill Barr?  How is Chris Christie?
meatguy1221,@realDonaldTrump Trump for Prison
robronjohn,@realDonaldTrump https://t.co/Xv5feH0BZW
am_cotton,@realDonaldTrump This is a very Residential tweet from the actual WH Resident. As he was trying to do some slow mov… https://t.co/0WuevfPV1e
JoSnyderEllis,@realDonaldTrump https://t.co/B6pAejTLF0
cjwwalton,RT @BlueR00n: @realDonaldTrump https://t.co/219iz5dsQk  It's past his bedtime but still here he is. #VoteEarlyDay
sandiesie,@realDonaldTrump since Trump is saying he’s immune! He should be visiting our covid patients! He should be going to… https://t.co/wnPlNyV441
MrJLCharbonneau,"RT @MrJLCharbonneau: @realDonaldTrump @MayorBowser @realDonaldTrump is grossly incompetent, and in no way qualified to be running a CASINO,…"
FTPeVeVe,@realdonaldtrump https://t.co/XGn0lCmkU6 https://t.co/I5LGNmfab6
PoloPersonGwen,RT @scientificrealm: @realDonaldTrump https://t.co/tQ2mtswyDg
rmojomojito1,"RT @the_resistor: @realDonaldTrump Hey @realDonaldTrump   This Isn't ""The Apprentice President, COVID-19 Edition""  Your PRE-RECORDED PROPAG…"
HourihanAmy,"@realDonaldTrump You've been promising a healthcare bill for years, but are too lazy to actually produce it. So much for your deal making."
jredmond1,@realDonaldTrump Why can't you just tell the truth?
LauraOldani2,@realDonaldTrump Oh I’m voting for Joe! #Biden2020
RealOSUBuckeye,"@realDonaldTrump Already voted on GA here myself, voting your ass out."
VK90687734,"@realDonaldTrump It is not smart to make fun of senior citizens, particularly if you are running for president. The… https://t.co/OY6EZo4Xzt"
reallllltalkkkk,@realDonaldTrump https://t.co/WFLCTX3UjK
vehanoosh,@realDonaldTrump @JoeBiden are you there? https://t.co/HRidTfUooc
TatiaLucce,"@realDonaldTrump Dear Sir President, The Honorable Amy Coney Barrett  is a blessing to all of us Americans.  Hope s… https://t.co/1qwmZ4p3dv"
troyrudd,@realDonaldTrump @remindmetweets 21 days
50deuce502,@realDonaldTrump Lol savage
MissyVenture,"@realDonaldTrump And in 4 years, you and your team have provided precisely nothing as an alternative plan to the cu… https://t.co/1yQzrfUHzC"
VoteBlue4USA,@realDonaldTrump YOU'VE BEEN PRESIDENT FOR 4 YEARS
rickringer52,@realDonaldTrump @CoryBooker #VoteBidenHarrisToSaveAmerica
Alexand07198115,@realDonaldTrump You still don't have a plan? And you want to be re-elected? The actual fuck have you been doing?
lldzne,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
nelsonjl49,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
Jason_princ_63,@realDonaldTrump ... ACB is not hostile to the ACA.  So she wants the federal government to control the health care… https://t.co/vGSuBoRN5C
AndrewSB49,"RT @PalmerReport: @realDonaldTrump No wonder you like Columbus. You and him are a lot alike. You both stole things that aren’t yours, took…"
jkretsch195,"@realDonaldTrump Isn't this illegal?  Placing unsanctioned, unauthorized ballot mail boxes. If so, can legal action… https://t.co/e7KqaG1Mn5"
sickblanket,@realDonaldTrump Immune you say? Hmmm I think not https://t.co/upPC8vTj2a
alex_moneta,@realDonaldTrump Lol I keep asking when this comes up Like can somebody please tell me HOW?!  why as a voter am I n… https://t.co/2Wi2VLTWUc
anupkolge,@realDonaldTrump https://t.co/7lXvtv8JmO https://t.co/nspQHlQpSj
mikemac1990,@realDonaldTrump this is a good look. https://t.co/0m7iFfr0Mw
KoiNoYokan14,"@realDonaldTrump Jajajsjaja que persona totalmente nefasta y es presidente, es una cosa totalmente bizarra, por no… https://t.co/WwfFnGwwnV"
SilverbergThor,@realDonaldTrump This is happening all over the nation - vote the racists out! https://t.co/Pw6d8UuT3z
carlottah,RT @funder: @realDonaldTrump Vote Biden. Period.
petropolist,@realDonaldTrump #VoteBiden #VoteBidenHarrisToSaveAmerica
jeanninechiapp1,@realDonaldTrump This is not how a president behaves.
natemax,@realDonaldTrump FALSE. Donald Trump wants to take away our healthcare and is fighting to do so in court.  https://t.co/BIUblqNoBJ
SecondCutSnead,"@realDonaldTrump Hey Mr President here's a great line for your tombstone!  ""In sum, Trump has made a strong case th… https://t.co/4VKeHyq7MN"
phillsphan,@realDonaldTrump https://t.co/oLVSCboL7o
gburn1175,@realDonaldTrump We are all hoping you are going home to NY state pen
Minnesota20116,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
__winslow_,@realDonaldTrump HUH honey stop you’re embarrassing yourself
AHam86,@realDonaldTrump 4 years Zero details   Show your work or admit you failed
mauro40981997,@realDonaldTrump There @EU_Commission  funded the #Wuhan Institute of Virology #China in 2015 and 2019 with a sum o… https://t.co/pxtJlDzRKf
bgm352646,"@realDonaldTrump YES VOTE BLUE NOW! Bring back honesty, loyalty, love, decency, competency, democracy and peace to… https://t.co/t7hRBXFHzI"
Imhisnonna,"RT @OwnRules: @realDonaldTrump They are ready for you in Des Moines, Agolf: https://t.co/0qQRwLe6jd"
DonnaHi94780527,@realDonaldTrump With 216169 Americans Dead!!!!!!!
FindJBMortgage,"@realDonaldTrump Lies run sprints, but the truth runs marathons. ... See you at the polls.... IN PERSON!! #Trump2020LandslideVictory"
graceirisheyes,RT @DeanLeh: @realDonaldTrump https://t.co/8TfJXxqlds
techbizshea,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
manuelj04289462,@realDonaldTrump DEATH IS NOT BETTER HEALTH CARE !
shaqman95,@realDonaldTrump You too lol
Georgiacolwell_,"@realDonaldTrump as georgia, i’ll pass"
SBWheat1,RT @mylittlecorne11: @realDonaldTrump I’m guessing the “Nothing Burger” that your latest FAKE investigation turned out to be...wasn’t the b…
theg0t,"@realDonaldTrump Obama released and got his healthcare plan to pass first term, from republicans who vowed never to… https://t.co/yHzPaxhnzX"
awnaves,"@realDonaldTrump Just the president telling people to break the law again.  Law &amp; order, my ass. https://t.co/0lhVkKYa7J"
TusharUrala,@realDonaldTrump Nice work CA
PowerUp4AChange,RT @EvilDine: @realDonaldTrump https://t.co/mmW4PmDsIF
therrienv,@realDonaldTrump Why haven't you then?
MyBeesWaxNotUrs,RT @onlytruthhere: @realDonaldTrump https://t.co/kd5lxxbW9a
JackZullo,"@realDonaldTrump You’ve been saying this for four years, John."
AlexKindred,"RT @AngelaBelcamino: @realDonaldTrump @CoryBooker Dude, can we please see your healthcare plan?"
